,runId,trId,value,timestamp
65,1.0,65.0,8.0,1602966780.811608
66,1.0,66.0,10.0,1602966781.41678
67,1.0,67.0,7.0,1602966782.1040251
68,1.0,68.0,2.0,1602966782.817599
69,1.0,69.0,2.0,1602966783.5019789
70,1.0,70.0,6.0,1602966784.23363
71,1.0,71.0,2.0,1602966784.904734
72,1.0,72.0,2.0,1602966785.60928
73,1.0,73.0,2.0,1602966786.329789
74,1.0,74.0,5.0,1602966787.001673
75,1.0,75.0,8.0,1602966787.6109362
76,1.0,76.0,1.0,1602966788.229098
77,1.0,77.0,3.0,1602966789.001793
78,1.0,78.0,8.0,1602966789.701889
79,1.0,79.0,8.0,1602966790.4021602
80,1.0,80.0,5.0,1602966791.103132
81,1.0,81.0,1.0,1602966791.710638
82,1.0,82.0,7.0,1602966792.316232
83,1.0,83.0,4.0,1602966793.002895
84,1.0,84.0,1.0,1602966793.6030898
85,1.0,85.0,9.0,1602966794.301816
86,1.0,86.0,1.0,1602966795.005673
87,1.0,87.0,4.0,1602966795.800014
88,1.0,88.0,2.0,1602966796.20149
89,1.0,89.0,2.0,1602966796.90474
90,1.0,90.0,6.0,1602966797.602599
91,1.0,91.0,9.0,1602966798.208873
92,1.0,92.0,6.0,1602966798.804613
93,1.0,93.0,6.0,1602966799.4150012
94,1.0,94.0,9.0,1602966800.104855
95,1.0,95.0,10.0,1602966800.812931
96,1.0,96.0,5.0,1602966801.50225
97,1.0,97.0,7.0,1602966802.2149382
98,1.0,98.0,8.0,1602966802.993831
99,1.0,99.0,3.0,1602966803.605335
100,1.0,100.0,9.0,1602966804.301388
101,1.0,101.0,5.0,1602966805.009813
102,1.0,102.0,8.0,1602966805.654836
103,1.0,103.0,5.0,1602966806.311949
104,1.0,104.0,8.0,1602966806.952961
105,1.0,105.0,1.0,1602966807.621214
106,1.0,106.0,5.0,1602966808.309681
107,1.0,107.0,10.0,1602966809.005447
108,1.0,108.0,7.0,1602966809.6268559
109,1.0,109.0,1.0,1602966810.325492
110,1.0,110.0,3.0,1602966810.901856
111,1.0,111.0,2.0,1602966811.607512
112,1.0,112.0,9.0,1602966812.208916
113,1.0,113.0,8.0,1602966812.908789
114,1.0,114.0,2.0,1602966813.617667
115,1.0,115.0,1.0,1602966814.315927
116,1.0,116.0,5.0,1602966815.334914
117,1.0,117.0,4.0,1602966816.013982
118,1.0,118.0,8.0,1602966816.7125041
119,1.0,119.0,2.0,1602966817.4266639
120,1.0,120.0,1.0,1602966818.223897
121,1.0,121.0,2.0,1602966818.727929
122,1.0,122.0,2.0,1602966819.475691
123,1.0,123.0,6.0,1602966820.1424582
124,1.0,124.0,10.0,1602966820.821122
125,1.0,125.0,4.0,1602966821.515361
126,1.0,126.0,10.0,1602966822.218388
127,1.0,127.0,5.0,1602966822.903302
128,1.0,128.0,10.0,1602966823.631958
129,1.0,129.0,8.0,1602966824.7613811
130,1.0,130.0,4.0,1602966825.1019
131,1.0,131.0,10.0,1602966825.802154
132,1.0,132.0,6.0,1602966826.502066
133,1.0,133.0,2.0,1602966827.2053828
134,1.0,134.0,6.0,1602966827.829834
135,1.0,135.0,6.0,1602966828.501705
136,1.0,136.0,3.0,1602966829.201589
137,1.0,137.0,1.0,1602966829.90238
138,1.0,138.0,5.0,1602966830.50159
139,1.0,139.0,1.0,1602966831.201199
140,1.0,140.0,4.0,1602966831.844767
141,1.0,141.0,4.0,1602966832.601475
142,1.0,142.0,8.0,1602966833.301718
143,1.0,143.0,7.0,1602966833.9070349
144,1.0,144.0,5.0,1602966834.601506
145,1.0,145.0,2.0,1602966835.3025742
146,1.0,146.0,2.0,1602966836.001857
147,1.0,147.0,8.0,1602966836.638721
148,1.0,148.0,3.0,1602966837.302071
149,1.0,149.0,8.0,1602966837.968958
150,1.0,150.0,6.0,1602966838.6013162
